"title","feedUrl","htmlUrl"
"http://jasonheppler.org/feed","http://jasonheppler.org/feed","http://jasonheppler.org/"
"jodischneider.com/blog","http://jodischneider.com/blog/feed/","http://jodischneider.com/blog"
"Kathi Inman Berens","http://kathiiberens.com","http://kathiiberens.com/"
"Laurie N. Taylor","http://laurientaylor.org/feed/","http://laurientaylor.org/"
"http://lukewaltzer.com/","http://lukewaltzer.com/",NA
"Mark C. Marino","http://markcmarino.com/wordpress/?feed=rss2","http://markcmarino.com/wordpress"
"Matthew Lincoln","http://matthewlincoln.net/feed.xml","http://matthewlincoln.net/"
"Bethany Nowviskie","http://nowviskie.org/feed/","http://nowviskie.org/"
"Daniel Paul O'Donnell - Blog","http://people.uleth.ca/~daniel.odonnell/Blog/","http://people.uleth.ca/~daniel.odonnell/"
"Ryan Cordell","http://ryan.cordells.us/feed/","http://ryancordell.org/"
"Marie Saldana","http://sound-and-space.net/rss","http://www.mariesaldana.com/"
"Casual Scholarship","http://sparklebliss.com/blog/?feed=rss","http://sparklebliss.com/blog"
"technosociology","http://technosociology.org/?feed=rss2","http://technosociology.org/"
"THATCamp » THATCamp","http://thatcamp.org/feed/","http://thatcamp.org/"
"Vectors Journal Blog","http://vectorsjournal.org/journal/blog/feed","http://vectorsjournal.org/journal/blog"
"Bill Wolff","http://williamwolff.org/feed/","http://williamwolff.org/"
"ArchivesNext","http://www.archivesnext.com/","http://www.archivesnext.com/"
"http://www.arts-humanities.net/frontpage/feed","http://www.arts-humanities.net/frontpage/feed","http://www.arts-humanities.net/frontpage/feed"
"http://www.briancroxall.net/feed/","http://www.briancroxall.net/feed/",NA
"Joyce Seitzinger","http://www.cats-pyjamas.net/feed/","http://www.cats-pyjamas.net/"
"Cheryl Marie Cordeiro","http://www.cmariec.com","http://www.cmariec.com/"
"Digital Classicist seminars","http://www.digitalclassicist.org/wip/seminar.xml","http://www.digitalclassicist.org/wip/"
"Inherent Vice","http://www.inherentvice.net/","http://www.inherentvice.net/"
"Jason M. Kelly","http://www.jasonmkelly.com/feed/","http://www.jasonmkelly.com/"
"@katetowsey","http://www.katetowsey.co.uk/feed/","http://www.katetowsey.co.uk/"
"The Leisurely Historian...","http://www.leisurelyhistorian.net/feed","http://www.leisurelyhistorian.net/"
"Mike Kestemont","http://www.mike-kestemont.org/?feed=rss","http://www.mike-kestemont.org/"
"Past Voices » blog","http://www.pastvoices.net/blog/feed/","http://www.pastvoices.net/"
"AnthSpace@PSU","http://www.personal.psu.edu/nmc15/blogs/anthspace/index.xml","http://www.personal.psu.edu/nmc15/blogs/anthspace/"
"¡De'víate!","http://www.phdeviate.org/feed/","http://www.phdeviate.org/"
"roger t. whitson","http://www.rogerwhitson.net/?feed=rss","http://www.rogerwhitson.net/"
"ActiveHistory.ca » Ian Milligan","http://activehistory.ca/author/ianmilligan/feed/","http://activehistory.ca/"
"Elena M. Friot","http://elenafriot.wordpress.com","http://elenafriot.wordpress.com/"
"Digital Rhetor","feed://digitalrhetor.wordpress.com/feed/","http://digitalrhetor.wordpress.com/"
"http://dm2e.eu/feed/","http://dm2e.eu/feed/",NA
"http://blog.behzod.net/feed/","http://blog.behzod.net/feed/",NA
"http://feeds.feedburner.com/wrt","http://feeds.feedburner.com/wrt","http://writerresponsetheory.org/wordpress"
"http://hackingthehumanities.org/posts/feed","http://hackingthehumanities.org/posts/feed",NA
"joereinsel.org/","joereinsel.org/",NA
"http://kalvesmaki.com/dp/rss.xml","http://kalvesmaki.com/dp/rss.xml","http://kalvesmaki.com/dp"
"http://www.nypl.org/blog_channel_feed/90276","http://www.nypl.org/blog_channel_feed/90276",NA
"http://stephenramsay.us/sitemap.atom","http://stephenramsay.us/sitemap.atom",NA
"http://www.samplereality.com/feed/","http://www.samplereality.com/feed/",NA
"Simon Rowberry","http://www.sprowberry.com/?feed=rss2","http://www.sprowberry.com/"
"Gaming the System","http://www.tannerhiggin.com/feed/","http://www.tannerhiggin.com/"
"Wilko Graf von Hardenberg","http://www.wilkohardenberg.net/feed/","http://www.wilkohardenberg.net/"
"Zach Whalen","http://www.zachwhalen.net/","http://www.zachwhalen.net/"
"danah boyd | apophenia","http://www.zephoria.org/thoughts/feed","http://www.zephoria.org/thoughts"
"Matrix","http://www2.matrix.msu.edu/feed/","http://www2.matrix.msu.edu/"
"| Academic Technology Specialists","https://www.stanford.edu/group/ats/cgi-bin/hivetalkin/?author=29&amp;feed=atom","https://www.stanford.edu/group/ats/cgi-bin/hivetalkin"
"| Academic Technology Specialists","https://www.stanford.edu/group/ats/cgi-bin/hivetalkin/?author=29&#038;feed=atom","https://www.stanford.edu/group/ats/cgi-bin/hivetalkin"
"The Fibreculture Journal","http://fibreculturejournal.org/feed/","http://fibreculturejournal.org/"
"4Humanities","http://4humanities.org/feed/","http://4humanities.org/"
"4oh4 - words not found","http://4oh4-wordsnotfound.blogspot.com/feeds/posts/default","http://4oh4-wordsnotfound.blogspot.com/"
"5000","http://5000.blogspot.com/feeds/posts/default","http://5000.blogspot.com/"
"dh+lib","http://acrl.ala.org/dh/feed/","http://acrl.ala.org/dh"
"| Anouk Lang |","http://aelang.net/wordpress/feed/","http://aelang.net/wordpress"
"#ADPhD","http://africandiasporaphd.com/feed/","http://africandiasporaphd.com/"
"AIA Geospatial Interest Group","http://aiageo.wordpress.com","http://aiageo.wordpress.com/"
"AWOL - The Ancient World Online","http://ancientworldonline.blogspot.com/feeds/posts/default","http://ancientworldonline.blogspot.com/"
"Anglicana","http://anglicana.tumblr.com/rss","http://anglicana.tumblr.com/"
"Anglophile in Academia","http://anglophileinacademia.blogspot.com/feeds/posts/default","http://anglophileinacademia.blogspot.com/"
"anne cong-huyen","http://anitaconchita.wordpress.com/feed/","http://anitaconchita.wordpress.com/"
"Anterotesis","http://anterotesis.com/wordpress/feed/","http://anterotesis.com/wordpress"
"Arche Logos","http://archelogos.hypotheses.org/?feed=rss","http://archelogos.hypotheses.org/"
"Arden Kirkland's Idiosyncrasies","http://ardenkirkland.wordpress.com/feed/","http://ardenkirkland.wordpress.com/"
"Augmented Times","http://artimes.rouli.net/feeds/posts/default","http://artimes.rouli.net/"
"Ancient World Mapping Center","http://awmc.unc.edu/wordpress/feed/","http://awmc.unc.edu/wordpress"
"The Cynic Sang: The (Un)Official Blog of the William Blake Archive","http://blakearchive.wordpress.com/feed/","https://blakearchive.wordpress.com/"
"Esri DC Blog","http://blog.geoiq.com/feed/","http://blog.dc.esri.com/"
"The IHR Blog » British History Online","http://blog.history.ac.uk/category/british-history-online/feed/","http://blog.history.ac.uk/"
"Niki Stanley > Blog","http://blog.nikistanley.com/feeds/posts/default","http://blog.nikistanley.com/"
"The Open Library Blog","http://blog.openlibrary.org/feed/","http://blog.openlibrary.org/"
"Sameer Padania","http://blog.sameerpadania.com/feed/","http://blog.sameerpadania.com/"
"Digital Humanities: Works in Progress","http://blogs.cch.kcl.ac.uk/wip/feed/","http://wip.cch.kcl.ac.uk/"
"Easily Distracted","http://blogs.swarthmore.edu/burke/","http://blogs.swarthmore.edu/burke"
"UCL Centre for Digital Humanities","http://blogs.ucl.ac.uk/dh/feed/","http://blogs.ucl.ac.uk/dh"
"Jon Berndt Olsen","http://blogs.umass.edu/jon/feed/","http://blogs.umass.edu/jon"
"Join the Conversation","http://boessen.wordpress.com/feed/","http://boessen.wordpress.com/"
"Bokardo","http://bokardo.com/feed/","http://bokardo.com/"
"Brewing History","http://brewinghistory.com/feed","http://brewinghistory.com/"
"No Cambridge Lady","http://bwagoner.typepad.com/blog/atom.xml","http://bwagoner.typepad.com/blog/"
"Copyright on Campus","http://campuscopyright.wordpress.com/feed/","https://campuscopyright.wordpress.com/"
"your libarchivist","http://caropinto.com/feed/","http://caropinto.com/"
"Center for Digital Research in the Humanities","http://cdrh.unl.edu/blog/?feed=rss2","http://cdrh.unl.edu/blog"
"Cerisia Cerosia","http://cerisia.cerosia.org/?feed=rss2","http://cerisia.cerosia.org/"
"chiarabernardi","http://chiarabernardi.wordpress.com/feed","https://chiarabernardi.wordpress.com/"
"Christine Madsen","http://christinemadsen.com/","http://christinemadsen.com/"
"ProfHackerProfHacker - Blogs - The Chronicle of Higher Education","http://chronicle.com/blogs/profhacker/feed","http://chronicle.com/blogs/profhacker"
"http://citedatthecrossroads.net/feed/","http://citedatthecrossroads.net/feed/","http://citedatthecrossroads.net/"
"Claire Warwick's Blog","http://clairewarwick.blogspot.com/feeds/posts/default","http://clairewarwick.blogspot.com/"
"clioviz","http://clioviz.wordpress.com/feed/","https://clioviz.wordpress.com/"
"ClioWeb","http://clioweb.org/rss.xml","http://clioweb.org/"
"stamen design - the next most obvious thing","http://content.stamen.com/node/feed","http://content.stamen.com/"
"CSDH/SCHN","http://csdh-schn.org/feed/","http://csdh-schn.org/"
"Center for Public History + Digital Humanities at Cleveland State University","http://csudigitalhumanities.org/blog/","http://csudigitalhumanities.org/"
"CUNY Digital Humanities Initiative","http://cunydhi.commons.gc.cuny.edu/feed/","http://cunydhi.commons.gc.cuny.edu/"
"Performing Place","http://dahphd.ie/lisafitzgerald/feed/","http://dahphd.ie/lisafitzgerald"
"Dan McCreary's Blog","http://datadictionary.blogspot.com/feeds/posts/default","http://datadictionary.blogspot.com/"
"Designed for learning","http://designedforlearning.wordpress.com/feed/","http://designedforlearning.wordpress.com/"
"desi gonzalez","http://desigonzalez.tumblr.com/rss","http://desigonzalez.tumblr.com/"
"News","http://dhinitiative.org/news/feed","http://dhinitiative.org/news"
"diana maps","http://dianamaps.com/feed/","http://dianamaps.com/"
"Diaspora Hypertext, the Blog","http://diasporahypertext.wordpress.com/feed/","http://diasporahypertext.com/"
"Digging Digital Humanities","http://diggingdh.com/feed/","http://diggingdh.com/"
"DigitalKoans","http://digital-scholarship.org/digitalkoans/feed/","http://digital-scholarship.org/digitalkoans"
"DigitalCritic","http://digitalcritic.org/feed/","http://digitalcritic.org/"
